algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'oil'}),frozenset({'soda'}),0.0013,0.088,0.9302,0.9948,0.3791
FP-Growth,frozenset({'whole milk'}),frozenset({'shopping bags'}),0.0045,0.0348,0.6604,0.9987,0.2863
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'yogurt'}),0.0023,0.0619,0.7876,0.9987,0.3386
FP-Growth,frozenset({'soda'}),frozenset({'bottled water'}),0.0038,0.0405,0.6658,1.0,0.295
FP-Growth,frozenset({'domestic eggs'}),frozenset({'rolls/buns'}),0.003,0.0753,0.739,0.9974,0.3164
FP-Growth,frozenset({'tropical fruit'}),frozenset({'fruit/vegetable juice'}),0.0016,0.0319,0.8678,1.0,0.3699
FP-Growth,frozenset({'cat food'}),frozenset({'rolls/buns'}),0.0012,0.084,0.8247,0.9987,0.3558
FP-Growth,frozenset({'rolls/buns'}),frozenset({'newspapers'}),0.0033,0.0329,0.7941,0.9974,0.3302
FP-Growth,frozenset({'pastry'}),frozenset({'root vegetables'}),0.0024,0.0482,0.7979,0.9987,0.3397
FP-Growth,frozenset({'brown bread'}),frozenset({'other vegetables'}),0.0029,0.0714,0.6695,1.0,0.3006
FP-Growth,frozenset({'soda'}),frozenset({'rolls/buns'}),0.0053,0.0556,0.5459,0.9987,0.2454
FP-Growth,frozenset({'soda'}),frozenset({'specialty bar'}),0.0012,0.0126,0.9272,1.0,0.3886
FP-Growth,frozenset({'tropical fruit'}),frozenset({'UHT-milk'}),0.0011,0.0221,1.111,0.9935,0.43
FP-Growth,frozenset({'sliced cheese'}),frozenset({'soda'}),0.0012,0.0813,0.8594,0.9974,0.3618
FP-Growth,frozenset({'tropical fruit'}),frozenset({'bottled water'}),0.0023,0.0466,0.7665,1.0,0.333
FP-Growth,frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.0013,0.0887,0.8315,0.9974,0.3523
FP-Growth,frozenset({'canned beer'}),frozenset({'other vegetables'}),0.0025,0.0734,0.6883,1.0,0.3075
FP-Growth,frozenset({'butter'}),frozenset({'soda'}),0.0024,0.0702,0.7418,0.9987,0.3212
FP-Growth,frozenset({'rolls/buns'}),frozenset({'soda'}),0.0053,0.0516,0.5459,0.9987,0.2441
FP-Growth,frozenset({'butter'}),frozenset({'newspapers'}),0.0013,0.0386,0.9327,0.9974,0.3823
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'fruit/vegetable juice'}),0.0011,0.0391,1.0657,0.9935,0.4149
FP-Growth,frozenset({'curd'}),frozenset({'soda'}),0.0022,0.0714,0.755,0.9987,0.3261
FP-Growth,frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.0012,0.0112,0.919,1.0,0.3844
FP-Growth,frozenset({'other vegetables'}),frozenset({'UHT-milk'}),0.0022,0.0202,1.0164,0.9935,0.3931
FP-Growth,frozenset({'whole milk'}),frozenset({'canned beer'}),0.0032,0.0247,0.7235,1.0,0.3125
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.003,0.0814,0.6241,1.0,0.2838
FP-Growth,frozenset({'root vegetables'}),frozenset({'pastry'}),0.0024,0.0396,0.7979,0.9987,0.337
FP-Growth,frozenset({'coffee'}),frozenset({'brown bread'}),0.0011,0.0352,0.8748,1.0,0.3712
FP-Growth,frozenset({'yogurt'}),frozenset({'hard cheese'}),0.0011,0.0137,0.9959,0.9974,0.4017
FP-Growth,frozenset({'yogurt'}),frozenset({'soda'}),0.0044,0.0563,0.5953,0.9987,0.2629
FP-Growth,frozenset({'bottled water'}),frozenset({'other vegetables'}),0.0038,0.063,0.5904,1.0,0.2679
FP-Growth,frozenset({'rolls/buns'}),frozenset({'bottled water'}),0.0041,0.0399,0.6568,0.9987,0.2834
FP-Growth,frozenset({'margarine'}),frozenset({'whole milk'}),0.0031,0.0878,0.6732,0.9974,0.2912
FP-Growth,frozenset({'citrus fruit'}),frozenset({'brown bread'}),0.0012,0.0346,0.861,1.0,0.3655
FP-Growth,frozenset({'white bread'}),frozenset({'newspapers'}),0.0011,0.0404,0.9753,0.9961,0.3919
FP-Growth,frozenset({'bottled water'}),frozenset({'tropical fruit'}),0.0023,0.0374,0.7665,1.0,0.3301
FP-Growth,frozenset({'newspapers'}),frozenset({'butter'}),0.0013,0.0318,0.9327,0.9974,0.3802
FP-Growth,frozenset({'soda'}),frozenset({'citrus fruit'}),0.0025,0.0265,0.7681,1.0,0.3289
FP-Growth,frozenset({'yogurt'}),frozenset({'brown bread'}),0.0025,0.032,0.7954,0.9987,0.3341
FP-Growth,frozenset({'margarine'}),frozenset({'soda'}),0.0025,0.0709,0.7499,0.9974,0.317
FP-Growth,frozenset({'pastry'}),frozenset({'whole milk'}),0.0038,0.0771,0.5909,0.9987,0.2638
FP-Growth,frozenset({'pip fruit'}),frozenset({'whole milk'}),0.0031,0.0828,0.6346,0.9987,0.2809
FP-Growth,frozenset({'tropical fruit'}),frozenset({'other vegetables'}),0.0032,0.0662,0.6203,1.0,0.2788
FP-Growth,frozenset({'brown bread'}),frozenset({'citrus fruit'}),0.0012,0.0298,0.861,1.0,0.364
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'frozen vegetables'}),0.0011,0.0293,1.0657,0.9935,0.4118
FP-Growth,frozenset({'brown bread'}),frozenset({'coffee'}),0.0011,0.0268,0.8748,1.0,0.3685
FP-Growth,frozenset({'whole milk'}),frozenset({'bottled water'}),0.0045,0.0348,0.5733,1.0,0.2557
FP-Growth,frozenset({'yogurt'}),frozenset({'newspapers'}),0.0026,0.0335,0.8092,0.9974,0.3328
FP-Growth,frozenset({'soda'}),frozenset({'yogurt'}),0.0044,0.0468,0.5953,0.9987,0.2598
